question,fault,label,arg,c_faults,c_checks,nc_faults,nc_checks
e,param,c,1,1,1,2,13
e,param,c,4,1,1,1,13
e,param,c,2,0,1,2,13
e,param,c,3,1,2,2,26
e,param,b,1,0,1,1,20
e,label,b,d,3,5,0,26
e,label,b,!,1,5,0,26
a,param,a,2,9,14,12,28
g,param,b,2,7,12,0,30
e,label,b,c,0,5,3,26
e,label,b,.,0,5,1,26
e,label,b,?,0,5,2,26
e,label,c,d,5,13,9,33
g,param,b,1,9,18,9,47
a,param,b,2,5,14,9,26
e,label,c,b,3,13,3,33
a,param,b,1,3,14,3,26
e,label,c,!,2,13,0,33
e,label,c,-,1,13,0,33
e,label,c,1,1,13,0,33
e,label,c,0,0,13,2,33
e,label,c,a,0,13,6,33
a,param,a,3,0,14,3,28
a,param,a,1,0,14,1,28
a,param,b,3,0,14,3,26
a,label,b,z,0,14,1,28
a,label,b,0,0,14,1,28
a,label,a,c,12,33,3,36
c,halt,c,_,2,26,5,34
e,param,a,1,5,29,1,50
g,param,a,2,2,27,1,49
e,halt,d,_,2,27,2,30
a,halt,c,_,1,26,3,35
g,halt,d,_,3,29,4,36
e,halt,d,c,1,27,0,30
g,param,a,1,1,27,1,49
e,param,a,2,3,29,8,50
a,halt,c,a,0,26,1,35
a,halt,c,3,0,26,1,35
a,label,a,!,6,33,1,36
g,halt,d,b,1,29,0,36
g,halt,d,!,1,29,0,36
g,halt,d,0,1,29,0,36
g,halt,d,a,1,29,0,36
g,label,a,d,3,31,0,52
c,param,a,2,12,41,3,75
c,param,a,1,15,44,3,89
g,halt,d,:,0,29,3,36
g,halt,d,1,0,29,1,36
g,label,a,b,1,31,0,52
g,label,b,a,13,43,29,86
c,param,a,3,10,41,13,75
g,label,a,!,0,31,1,52
g,label,a,X,0,31,1,52
g,label,a,4,0,31,1,52
a,label,a,X,1,33,1,36
a,label,a,b,0,33,1,36
a,label,a,?,0,33,1,36
a,label,a,y,0,33,1,36
g,label,b,!,7,43,1,86
c,param,a,4,4,41,7,75
g,label,b,d,2,43,1,86
g,label,b,.,1,43,0,86
g,label,b,?,1,43,1,86
e,label,a,b,7,49,8,67
g,label,b,0,1,43,1,86
e,label,a,?,6,49,7,67
g,label,b,1,0,43,3,86
g,label,b,4,0,43,1,86
g,label,b,X,0,43,2,86
e,param,a,3,12,58,4,100
e,label,a,c,3,49,0,67
e,label,a,!,3,49,1,67
e,label,a,X,1,49,0,67
e,label,a,1,0,49,1,67
c,label,a,e,13,99,8,173
c,label,a,b,10,99,3,173
c,label,a,!,5,99,1,173
c,label,a,d,0,99,5,173
c,label,a,c,0,99,1,173
c,label,a,a,0,99,3,173
c,label,a,0,0,99,1,173
